Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	batch	biomaterial_provider	cell_subtype	cell_type	isolate	phenotype	sex	source_name	tissue	wellID	wellKey
RNA-Seq		168	PRJNA487301	SAMN09880983	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656886	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R1_288_1.fastq.bz2	2018-09-07	272	250	Homo sapiens	ILLUMINA	2018-09-07	SRR7805001	SRS3702894	SRP158603	R1:R1:NA:288	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R1	healthy control	missing		PBMC	288	R1:R1:NA:288
RNA-Seq		168	PRJNA487301	SAMN09881367	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656808	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_298_1.fastq.bz2	2018-09-07	33	31	Homo sapiens	ILLUMINA	2018-09-07	SRR7805079	SRS3702895	SRP158603	R26CIT:R26:NA:298	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	298	R26CIT:R26:NA:298
RNA-Seq		168	PRJNA487301	SAMN09881370	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656807	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_301_1.fastq.bz2	2018-09-07	44	41	Homo sapiens	ILLUMINA	2018-09-07	SRR7805080	SRS3702896	SRP158603	R26CIT:R26:NA:301	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	301	R26CIT:R26:NA:301
RNA-Seq		168	PRJNA487301	SAMN09881372	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656805	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_304_1.fastq.bz2	2018-09-07	120	109	Homo sapiens	ILLUMINA	2018-09-07	SRR7805082	SRS3702897	SRP158603	R26CIT:R26:NA:304	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	304	R26CIT:R26:NA:304
RNA-Seq		168	PRJNA487301	SAMN09881369	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656806	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_300_1.fastq.bz2	2018-09-07	41	38	Homo sapiens	ILLUMINA	2018-09-07	SRR7805081	SRS3702898	SRP158603	R26CIT:R26:NA:300	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	300	R26CIT:R26:NA:300
RNA-Seq		167	PRJNA487301	SAMN09881371	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656804	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_302_1.fastq.bz2	2018-09-07	106	95	Homo sapiens	ILLUMINA	2018-09-07	SRR7805083	SRS3702899	SRP158603	R26CIT:R26:NA:302	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	302	R26CIT:R26:NA:302
RNA-Seq		167	PRJNA487301	SAMN09881507	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656589	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_250_1.fastq.bz2	2018-09-07	4	3	Homo sapiens	ILLUMINA	2018-09-07	SRR7804954	SRS3702900	SRP158603	R26RF:R26:NA:250	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	250	R26RF:R26:NA:250
RNA-Seq		168	PRJNA487301	SAMN09881401	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4656541	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_333_1.fastq.bz2	2018-09-07	1931	1693	Homo sapiens	ILLUMINA	2018-09-07	SRR7804658	SRS3702901	SRP158603	R26CIT:R26:NA:333	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	333	R26CIT:R26:NA:333
RNA-Seq		167	PRJNA487301	SAMN09881505	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656308	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_248_1.fastq.bz2	2018-09-07	36	33	Homo sapiens	ILLUMINA	2018-09-07	SRR7804547	SRS3702902	SRP158603	R26RF:R26:NA:248	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	248	R26RF:R26:NA:248
RNA-Seq		167	PRJNA487301	SAMN09881508	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4656588	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_251_1.fastq.bz2	2018-09-07	69	62	Homo sapiens	ILLUMINA	2018-09-07	SRR7804955	SRS3702903	SRP158603	R26RF:R26:NA:251	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	251	R26RF:R26:NA:251
RNA-Seq		167	PRJNA487301	SAMN09881509	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656587	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_252_1.fastq.bz2	2018-09-07	156	140	Homo sapiens	ILLUMINA	2018-09-07	SRR7804956	SRS3702904	SRP158603	R26RF:R26:NA:252	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	252	R26RF:R26:NA:252
RNA-Seq		167	PRJNA487301	SAMN09881510	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656586	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_253_1.fastq.bz2	2018-09-07	992	877	Homo sapiens	ILLUMINA	2018-09-07	SRR7804957	SRS3702905	SRP158603	R26RF:R26:NA:253	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	253	R26RF:R26:NA:253
RNA-Seq		167	PRJNA487301	SAMN09881511	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656585	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_254_1.fastq.bz2	2018-09-07	27	25	Homo sapiens	ILLUMINA	2018-09-07	SRR7804958	SRS3702906	SRP158603	R26RF:R26:NA:254	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	254	R26RF:R26:NA:254
RNA-Seq		168	PRJNA487301	SAMN09881512	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656584	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_255_1.fastq.bz2	2018-09-07	190	174	Homo sapiens	ILLUMINA	2018-09-07	SRR7804959	SRS3702907	SRP158603	R26RF:R26:NA:255	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	255	R26RF:R26:NA:255
RNA-Seq		167	PRJNA487301	SAMN09881513	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656321	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_256_1.fastq.bz2	2018-09-07	289	258	Homo sapiens	ILLUMINA	2018-09-07	SRR7804534	SRS3702908	SRP158603	R26RF:R26:NA:256	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	256	R26RF:R26:NA:256
RNA-Seq		167	PRJNA487301	SAMN09881514	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4656320	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_257_1.fastq.bz2	2018-09-07	149	132	Homo sapiens	ILLUMINA	2018-09-07	SRR7804535	SRS3702909	SRP158603	R26RF:R26:NA:257	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	257	R26RF:R26:NA:257
RNA-Seq		168	PRJNA487301	SAMN09880647	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656283	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_284_1.fastq.bz2	2018-09-07	324	290	Homo sapiens	ILLUMINA	2018-09-07	SRR7804572	SRS3702910	SRP158603	F:F:NA:284	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	284	F:F:NA:284
RNA-Seq		168	PRJNA487301	SAMN09880664	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656931	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_301_1.fastq.bz2	2018-09-07	179	162	Homo sapiens	ILLUMINA	2018-09-07	SRR7805267	SRS3702911	SRP158603	F:F:NA:301	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	301	F:F:NA:301
RNA-Seq		168	PRJNA487301	SAMN09880663	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656930	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_300_1.fastq.bz2	2018-09-07	102	91	Homo sapiens	ILLUMINA	2018-09-07	SRR7805268	SRS3702912	SRP158603	F:F:NA:300	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	300	F:F:NA:300
RNA-Seq		168	PRJNA487301	SAMN09880657	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656928	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_294_1.fastq.bz2	2018-09-07	83	74	Homo sapiens	ILLUMINA	2018-09-07	SRR7805270	SRS3702913	SRP158603	F:F:NA:294	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	294	F:F:NA:294
RNA-Seq		167	PRJNA487301	SAMN09881402	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4657030	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_334_1.fastq.bz2	2018-09-07	34	31	Homo sapiens	ILLUMINA	2018-09-07	SRR7805168	SRS3702914	SRP158603	R26CIT:R26:NA:334	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	334	R26CIT:R26:NA:334
RNA-Seq		168	PRJNA487301	SAMN09881344	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656891	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_273_1.fastq.bz2	2018-09-07	27	25	Homo sapiens	ILLUMINA	2018-09-07	SRR7804996	SRS3702915	SRP158603	R26CIT:R26:NA:273	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	273	R26CIT:R26:NA:273
RNA-Seq		168	PRJNA487301	SAMN09880656	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656927	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_293_1.fastq.bz2	2018-09-07	271	246	Homo sapiens	ILLUMINA	2018-09-07	SRR7805271	SRS3702916	SRP158603	F:F:NA:293	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	293	F:F:NA:293
RNA-Seq		168	PRJNA487301	SAMN09880655	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656926	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_292_1.fastq.bz2	2018-09-07	50	46	Homo sapiens	ILLUMINA	2018-09-07	SRR7805272	SRS3702917	SRP158603	F:F:NA:292	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	292	F:F:NA:292
RNA-Seq		168	PRJNA487301	SAMN09880662	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656925	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_299_1.fastq.bz2	2018-09-07	105	95	Homo sapiens	ILLUMINA	2018-09-07	SRR7805273	SRS3702918	SRP158603	F:F:NA:299	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	299	F:F:NA:299
RNA-Seq		168	PRJNA487301	SAMN09880661	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656924	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_298_1.fastq.bz2	2018-09-07	60	55	Homo sapiens	ILLUMINA	2018-09-07	SRR7805274	SRS3702919	SRP158603	F:F:NA:298	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	298	F:F:NA:298
RNA-Seq		168	PRJNA487301	SAMN09880660	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656923	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_297_1.fastq.bz2	2018-09-07	731	663	Homo sapiens	ILLUMINA	2018-09-07	SRR7805275	SRS3702920	SRP158603	F:F:NA:297	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	297	F:F:NA:297
RNA-Seq		167	PRJNA487301	SAMN09881483	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4656324	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26Rf_226_1.fastq.bz2	2018-09-07	10586	9294	Homo sapiens	ILLUMINA	2018-09-07	SRR7804531	SRS3702921	SRP158603	R26RF:R26:NA:226	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	226	R26RF:R26:NA:226
RNA-Seq		168	PRJNA487301	SAMN09880659	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656922	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_296_1.fastq.bz2	2018-09-07	121	110	Homo sapiens	ILLUMINA	2018-09-07	SRR7805276	SRS3702922	SRP158603	F:F:NA:296	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	296	F:F:NA:296
RNA-Seq		167	PRJNA487301	SAMN09881456	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656433	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_389_1.fastq.bz2	2018-09-07	120	109	Homo sapiens	ILLUMINA	2018-09-07	SRR7804766	SRS3702923	SRP158603	R26CIT:R26:NA:389	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	389	R26CIT:R26:NA:389
RNA-Seq		167	PRJNA487301	SAMN09881409	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4656498	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_341_1.fastq.bz2	2018-09-07	29	26	Homo sapiens	ILLUMINA	2018-09-07	SRR7804701	SRS3702924	SRP158603	R26CIT:R26:NA:341	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	341	R26CIT:R26:NA:341
RNA-Seq		168	PRJNA487301	SAMN09881334	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656496	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_263_1.fastq.bz2	2018-09-07	12	11	Homo sapiens	ILLUMINA	2018-09-07	SRR7804703	SRS3702925	SRP158603	R26CIT:R26:NA:263	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	263	R26CIT:R26:NA:263
RNA-Seq		167	PRJNA487301	SAMN09881333	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656840	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_262_1.fastq.bz2	2018-09-07	23	22	Homo sapiens	ILLUMINA	2018-09-07	SRR7805047	SRS3702926	SRP158603	R26CIT:R26:NA:262	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	262	R26CIT:R26:NA:262
RNA-Seq		168	PRJNA487301	SAMN09881329	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4657000	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_258_1.fastq.bz2	2018-09-07	240	220	Homo sapiens	ILLUMINA	2018-09-07	SRR7805198	SRS3702927	SRP158603	R26CIT:R26:NA:258	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	258	R26CIT:R26:NA:258
RNA-Seq		168	PRJNA487301	SAMN09881330	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656999	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_259_1.fastq.bz2	2018-09-07	34	32	Homo sapiens	ILLUMINA	2018-09-07	SRR7805199	SRS3702928	SRP158603	R26CIT:R26:NA:259	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	259	R26CIT:R26:NA:259
RNA-Seq		168	PRJNA487301	SAMN09881331	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656998	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_260_1.fastq.bz2	2018-09-07	38	35	Homo sapiens	ILLUMINA	2018-09-07	SRR7805200	SRS3702929	SRP158603	R26CIT:R26:NA:260	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	260	R26CIT:R26:NA:260
RNA-Seq		167	PRJNA487301	SAMN09881325	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4656813	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_254_1.fastq.bz2	2018-09-07	18	17	Homo sapiens	ILLUMINA	2018-09-07	SRR7805074	SRS3702930	SRP158603	R26CIT:R26:NA:254	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	254	R26CIT:R26:NA:254
RNA-Seq		168	PRJNA487301	SAMN09881332	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4656997	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_261_1.fastq.bz2	2018-09-07	32	30	Homo sapiens	ILLUMINA	2018-09-07	SRR7805201	SRS3702931	SRP158603	R26CIT:R26:NA:261	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	261	R26CIT:R26:NA:261
RNA-Seq		168	PRJNA487301	SAMN09881327	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4657002	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_256_1.fastq.bz2	2018-09-07	437	386	Homo sapiens	ILLUMINA	2018-09-07	SRR7805196	SRS3702932	SRP158603	R26CIT:R26:NA:256	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	256	R26CIT:R26:NA:256
RNA-Seq		168	PRJNA487301	SAMN09881326	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656809	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_255_1.fastq.bz2	2018-09-07	306	280	Homo sapiens	ILLUMINA	2018-09-07	SRR7805078	SRS3702933	SRP158603	R26CIT:R26:NA:255	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	255	R26CIT:R26:NA:255
RNA-Seq		168	PRJNA487301	SAMN09880733	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4656543	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_370_1.fastq.bz2	2018-09-07	239	213	Homo sapiens	ILLUMINA	2018-09-07	SRR7804656	SRS3702934	SRP158603	F:F:NA:370	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	370	F:F:NA:370
RNA-Seq		167	PRJNA487301	SAMN09881328	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4657001	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	R26cit_257_1.fastq.bz2	2018-09-07	29	27	Homo sapiens	ILLUMINA	2018-09-07	SRR7805197	SRS3702935	SRP158603	R26CIT:R26:NA:257	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	R26	RA patient	missing		PBMC	257	R26CIT:R26:NA:257
RNA-Seq		168	PRJNA487301	SAMN09880734	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656542	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_371_1.fastq.bz2	2018-09-07	34	31	Homo sapiens	ILLUMINA	2018-09-07	SRR7804657	SRS3702936	SRP158603	F:F:NA:371	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	371	F:F:NA:371
RNA-Seq		168	PRJNA487301	SAMN09880731	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656536	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_368_1.fastq.bz2	2018-09-07	69	63	Homo sapiens	ILLUMINA	2018-09-07	SRR7804663	SRS3702937	SRP158603	F:F:NA:368	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	368	F:F:NA:368
RNA-Seq		168	PRJNA487301	SAMN09880732	Human	UNIVERSITY OF ROCHESTER	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4656535	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	F_369_1.fastq.bz2	2018-09-07	176	157	Homo sapiens	ILLUMINA	2018-09-07	SRR7804664	SRS3702938	SRP158603	F:F:NA:369	missing	1	William H. Robinson, CCSR 4135, 269 Campus Drive, Stanford, CA 94305	NA	B cell	F	healthy control	missing		PBMC	369	F:F:NA:369
